Chr.c	Chr_start	Chr_end	GeneIDb	Tissue	Mean valuedParkinson	Mean valuedcontrol	Differencee(©´)	p valueg	PMID	
	94816787	94816874	CYP26A1	cerebral cortex tissue	-	-	-0.1	-	27692691	
	4998572	4998572	BHLHB2	cerebral cortex tissue	-	-	-0.1	-	27692691	
	131734229	131734240	SLC22A5	cerebral cortex tissue	-	-	-0.09	-	27692691	
	1093901	1093901	WDR37	cerebral cortex tissue	-	-	-0.09	-	27692691	
	6978621	6978643	RNF144A	cerebral cortex tissue	-	-	-0.09	-	27692691	
	73182312	73182312	C14orf168	cerebral cortex tissue	-	-	-0.09	-	27692691	
	19214520	19214529	SH2D4A	cerebral cortex tissue	-	-	-0.09	-	27692691	
	33388282	33388282	ZNF297	cerebral cortex tissue	-	-	-0.09	-	27692691	
	7051475	7051475	RREB1	cerebral cortex tissue	-	-	-0.09	-	27692691	
	37679567	37679567	STAT5B	cerebral cortex tissue	-	-	-0.09	-	27692691	
	113604770	113604770	TBX3	cerebral cortex tissue	-	-	-0.09	-	27692691	
	199567	199567	RPH3AL	cerebral cortex tissue	-	-	-0.09	-	27692691	
	66812361	66812417	ANKRD13D	cerebral cortex tissue	-	-	-0.09	-	27692691	
	43859996	43860081	ALKBH3	cerebral cortex tissue	-	-	-0.09	-	27692691	
	156933820	156933879	ADAM19	cerebral cortex tissue	-	-	-0.09	-	27692691	
	190152839	190152881	SLC40A1	cerebral cortex tissue	-	-	-0.09	-	27692691	
	4585316	4585316	TRIM68	cerebral cortex tissue	-	-	-0.09	-	27692691	
	64042545	64042545	ZBTB1	cerebral cortex tissue	-	-	-0.09	-	27692691	
	52690192	52690210	DDHD1	cerebral cortex tissue	-	-	-0.09	-	27692691	
	48244709	48245151	CEBPB	cerebral cortex tissue	-	-	-0.09	-	27692691	
	140361745	140361745	MRPS33	cerebral cortex tissue	-	-	-0.09	-	27692691	
	24870831	24870831	NEFL	cerebral cortex tissue	-	-	-0.08	-	27692691	
	43158825	43158886	KCNS1	cerebral cortex tissue	-	-	-0.08	-	27692691	
	54437512	54437549	GCH1	cerebral cortex tissue	-	-	-0.08	-	27692691	
	13943609	13943609	SPON1	cerebral cortex tissue	-	-	-0.08	-	27692691	
	58352247	58352254	ZNF347	cerebral cortex tissue	-	-	-0.07	-	27692691	
	1163677	1163749	SLC12A7	cerebral cortex tissue	-	-	-0.07	-	27692691	
	156500216	156500234	HLXB9	cerebral cortex tissue	-	-	-0.07	-	27692691	
	98910316	98910316	MGC42367	cerebral cortex tissue	-	-	-0.07	-	27692691	
	81410670	81410730	HOMER2	cerebral cortex tissue	-	-	-0.07	-	27692691	
	9110323	9110370	GPR157	cerebral cortex tissue	-	-	-0.07	-	27692691	
	37564428	37564460	FBXO10	cerebral cortex tissue	-	-	-0.07	-	27692691	
	36124463	36124465	NKX2-8	cerebral cortex tissue	-	-	-0.07	-	27692691	
	47043810	47043819	SHC4	cerebral cortex tissue	-	-	-0.07	-	27692691	
	234626318	234626318	EDARADD	cerebral cortex tissue	-	-	-0.07	-	27692691	
	46040166	46040166	XCR1	cerebral cortex tissue	-	-	-0.07	-	27692691	
	28314320	28314351	FOXG1B	cerebral cortex tissue	-	-	-0.07	-	27692691	
	39462147	39462154	DAB2	cerebral cortex tissue	-	-	-0.06	-	27692691	
	50352481	50352687	ZMYND10	cerebral cortex tissue	-	-	-0.06	-	27692691	
	63293102	63293102	RASSF3	cerebral cortex tissue	-	-	-0.05	-	27692691	
	86540294	86540297	BANP	cerebral cortex tissue	-	-	-0.04	-	27692691	
	32926020	32926343	GGTL3	cerebral cortex tissue	-	-	0.1	-	27692691	
	55509981	55510157	ABC1	cerebral cortex tissue	-	-	0.11	-	27692691	
	32926216	32926343	ACSS2	cerebral cortex tissue	-	-	0.13	-	27692691	
	55917734	55917877	LOC56901	cerebral cortex tissue	-	-	0.41	-	27692691	
19	50595864	50595864		blood	-	-	1.57	1.09E-20	27853465	
1	148864870	148864870		blood	-	-	1.31	1.64E-15	27853465	
8	7469535	7469535		blood	-	-	-1.21	1.38E-13	27853465	
5	2151560	2151560		blood	-	-	1.21	2.24E-13	27853465	
6	161066486	161066486		blood	-	-	1.28	4.23E-13	27853465	
6	153451650	153451650		blood	-	-	1.18	1.32E-12	27853465	
9	45413153	45413153		blood	-	-	-1.11	6.13E-12	27853465	
17	79876105	79876105		blood	-	-	1.11	1.01E-11	27853465	
8	29207347	29207347		blood	-	-	-1.13	1.21E-11	27853465	
13	28499045	28499045		blood	-	-	1.12	1.39E-11	27853465	
17	27071641	27071641		blood	-	-	-1.09	2.1E-11	27853465	
8	11538630	11538630		blood	-	-	1.11	2.18E-11	27853465	
7	102330910	102330910		blood	-	-	-1.11	2.52E-11	27853465	
3	125648119	125648119		blood	-	-	-1.11	2.57E-11	27853465	
10	48186138	48186138		blood	-	-	1.08	2.78E-11	27853465	
13	45992725	45992725		blood	-	-	1.1	3.48E-11	27853465	
2	180871406	180871406		blood	-	-	-1.12	3.55E-11	27853465	
2	109834011	109834011		blood	-	-	1.08	3.84E-11	27853465	
19	33167362	33167362		blood	-	-	1.11	4.1E-11	27853465	
4	13536107	13536107		blood	-	-	-1.1	4.62E-11	27853465	
13	57715641	57715641		blood	-	-	1.08	4.62E-11	27853465	
13	21872770	21872770		blood	-	-	-1.09	5.44E-11	27853465	
19	50595864	50595864		blood	-	-	-2.13	6.24E-11	27853465	
12	130662189	130662189		blood	-	-	1.08	6.25E-11	27853465	
9	138980742	138980742		blood	-	-	1.07	8.44E-11	27853465	
2	152954469	152954469		blood	-	-	1.08	1.02E-10	27853465	
3	62364171	62364171		blood	-	-	1.05	1.26E-10	27853465	
8	49468828	49468828		blood	-	-	-1.08	1.66E-10	27853465	
1	234950494	234950494		blood	-	-	1.06	2.06E-10	27853465	
10	30723853	30723853		blood	-	-	-1.07	2.12E-10	27853465	
20	40246428	40246428		blood	-	-	1.04	2.19E-10	27853465	
20	37357841	37357841		blood	-	-	-1.06	2.5E-10	27853465	
3	147129204	147129204		blood	-	-	1.04	2.67E-10	27853465	
4	134072763	134072763		blood	-	-	1.06	2.94E-10	27853465	
20	62588163	62588163		blood	-	-	1.03	3.58E-10	27853465	
5	72861609	72861609		blood	-	-	-1.03	4.06E-10	27853465	
7	72494504	72494504		blood	-	-	-1.01	4.57E-10	27853465	
17	29728	29728		blood	-	-	-1.02	4.6E-10	27853465	
7	99149631	99149631		blood	-	-	1.02	4.99E-10	27853465	
10	90751531	90751531		blood	-	-	1.04	5.15E-10	27853465	
22	24627294	24627294		blood	-	-	-0.28384	1.28E-08	30871403	
12	25801621	25801621	IFLTD1	blood	-	-	-0.38619	1.54E-08	30871403	
12	133003928	133003928		blood	-	-	-0.49670	1.55E-08	30871403	
10	2173024	2173024		blood	-	-	0.31875	1.31E-07	30871403	
13	48892244	48892244	RB1	blood	-	-	0.4862	1.72E-07	30871403	
11	66790285	66790285	SYT12	blood	-	-	0.24073	2.79E-07	30871403	
19	3869345	3869345	ZFR2	blood	-	-	0.30684	4.35E-07	30871403	
12	25801601	25801601	IFLTD1	blood	-	-	-0.30554	6.65E-07	30871403	
14	101194748	101194748	DLK1	blood	-	-	0.18266	8.04E-07	30871403	
10	6188149	6188149	PFKFB3	blood	-	-	0.15204	8.24E-07	30871403	
12	133003907	133003907		blood	-	-	-0.59444	1.17E-06	30871403	
1	17636898	17636898		blood	-	-	0.52986	1.22E-06	30871403	
12	25801522	25801522	IFLTD1	blood	-	-	-0.30440	1.56E-06	30871403	
19	11465311	11465311	AC024575.1	blood	-	-	-0.24711	2.16E-06	30871403	
14	101194267	101194267	DLK1	blood	-	-	0.20548	2.22E-06	30871403	
12	25801455	25801455	IFLTD1	blood	-	-	-0.26773	2.52E-06	30871403	
19	1005248	1005248		blood	-	-	0.20412	2.57E-06	30871403	
10	75012359	75012359	MRPS16	blood	-	-	-0.29904	2.57E-06	30871403	
8	144222401	144222401		blood	-	-	0.26984	3.03E-06	30871403	
13	36430582	36430582	DCLK1	blood	-	-	0.31522	3.19E-06	30871403	
12	108070383	108070383		blood	-	-	-0.27810	3.19E-06	30871403	
14	102487020	102487020	DYNC1H1	blood	-	-	0.09433	3.24E-06	30871403	
14	103569340	103569340	EXOC3L4	blood	-	-	0.29651	3.33E-06	30871403	
12	16757954	16757954	LMO3	blood	-	-	-0.13991	3.68E-06	30871403	
14	101195312	101195312		blood	-	-	0.15255	3.72E-06	30871403	
10	135341528	135341528	CYP2E1	blood	-	-	0.3555	4.02E-06	30871403	
14	105830631	105830631	PACS2	blood	-	-	-0.38021	4.56E-06	30871403	
3	133574742	133574742	RAB6B	blood	-	-	-0.25162	4.8E-06	30871403	
17	65471461	65471461		blood	-	-	0.13906	5.05E-06	30871403	
17	81041828	81041828	METRNL	blood	-	-	-0.00026	0.693	30871403	
18	42339206	42339206		blood	-	-	-0.00058	0.285	30871403	
7	4175865	4175865	SDK1	blood	-	-	0.00244	2.3E-05	30871403	
12	125028339	125028339	NCOR2	blood	-	-	-0.00276	1.38E-06	30871403	
19	47016623	47016623		blood	-	-	-0.00045	0.293	30871403	
19	45886078	45886078		blood	-	-	0.00152	0.438	30871403	
1	156617074	156617074	BCAN	blood	-	-	-0.00088	0.664	30871403	
7	74075293	74075293	GTF2I	blood	-	-	-0.00107	0.671	30871403	
1	19996240	19996240		blood	-	-	-0.00105	0.00219	30871403	
13	112554122	112554122	LINC00354	blood	-	-	5E-05	0.871	30871403	
5	139196457	139196457		blood	-	-	-0.00285	0.142	30871403	
16	8780048	8780048	ABAT	blood	-	-	-0.00091	0.00188	30871403	
21	46409994	46409994	LINC00163	blood	-	-	-0.00114	0.416	30871403	
11	1718086	1718086	KRTAP5	blood	-	-	-0.00022	0.407	30871403	
13	21081216	21081216		blood	-	-	-0.00311	0.00066	30871403	
4	119095240	119095240		blood	-	-	0.0003	0.944	30871403	
20	1504932	1504932		blood	-	-	-0.00053	0.849	30871403	
4	871629	871629		blood	-	-	-0.00001	0.995	30871403	
7	36919658	36919658	ELMO1	blood	-	-	-0.00040	0.00961	30871403	
2	240099221	240099221	HDAC4	blood	-	-	-0.00058	0.487	30871403	
20	56772325	56772325		blood	-	-	9.91E-06	0.99	30871403	
8	144737908	144737908	ZNF623	blood	-	-	-0.00017	0.851	30871403	
17	38094692	38094692		blood	-	-	-0.00005	0.714	30871403	
8	140712424	140712424		blood	-	-	0.00037	0.662	30871403	
16	81944150	81944150	PLCG2	blood	-	-	2E-05	0.852	30871403	
7	101860421	101860421		blood	-	-	-0.00023	0.769	30871403	
16	88624807	88624807		blood	-	-	-0.00023	0.743	30871403	
15	74943647	74943647	EDC3	blood	-	-	-0.00027	0.69	30871403	
5	138629019	138629019	MATR3	blood	-	-	-0.00417	0.226	30871403	
7	74075293	74075293	GTF2I	blood	-	-	-0.00107	0.671	30871403	
19	45886078	45886078		blood	-	-	0.00152	0.438	30871403	
19	58740861	58740861	ZNF544	blood	-	-	-0.00204	0.29	30871403	
21	46409994	46409994	LINC00163	blood	-	-	-0.00114	0.416	30871403	
5	139196457	139196457		blood	-	-	-0.00285	0.142	30871403	
1	156617074	156617074	BCAN	blood	-	-	-0.00088	0.664	30871403	
1	11621054	11621054		blood	-	-	0.00038	0.803	30871403	
18	44226771	44226771		blood	-	-	-0.00150	0.308	30871403	
15	29903900	29903900	RP11-300A12	blood	-	-	-0.00297	0.0548	30871403	
5	149520120	149520120	PDGFRB	blood	-	-	-0.00151	0.189	30871403	
5	141245719	141245719	PCDH1	blood	-	-	-0.00139	0.238	30871403	
4	119095240	119095240		blood	-	-	0.0003	0.944	30871403	
4	871629	871629		blood	-	-	-0.00001	0.995	30871403	
12	131188144	131188144	RIMBP2	blood	-	-	0.00156	0.116	30871403	
7	5388895	5388895		blood	-	-	0.00025	0.794	30871403	
11	114760598	114760598		blood	-	-	0.00014	0.887	30871403	
17	7440546	7440546	Y_RNA	blood	-	-	0.00113	0.22	30871403	
2	240099221	240099221	HDAC4	blood	-	-	-0.00058	0.487	30871403	
1	1683738	1683738	NADK	blood	-	-	0.00067	0.378	30871403	
14	105912598	105912598	MTA1	blood	-	-	6E-05	0.939	30871403	
8	144737908	144737908	ZNF623	blood	-	-	-0.00017	0.851	30871403	
8	140712424	140712424		blood	-	-	0.00037	0.662	30871403	
13	114746915	114746915		blood	-	-	0.00036	0.652	30871403	
17	72350710	72350710	KIF19	blood	-	-	-0.00156	0.641	30871403	
11	68715658	68715658		blood	-	-	0.00114	0.695	30871403	
10	77352287	77352287		blood	-	-	0.00087	0.734	30871403	
10	34999169	34999169		blood	-	-	0.00023	0.871	30871403	
20	18446362	18446362	DZANK1	blood	-	-	0.00091	0.632	30871403	
6	150217448	150217448	RAET1E	blood	-	-	-0.00227	0.183	30871403	
7	142012988	142012988	TRBV4	blood	-	-	-0.00114	0.731	30871403	
5	140562034	140562034	PCDHB16	blood	-	-	-0.00042	0.829	30871403	
16	51603716	51603716	-	blood	-	-	-0.00192	0.57	30871403	
6	46703468	46703468	PLA2G7	blood	-	-	-0.00262	0.294	30871403	
20	1504932	1504932		blood	-	-	-0.00053	0.849	30871403	
1	25257058	25257058	RUNX3	blood	-	-	-0.00055	0.00331	30871403	
16	4526765	4526765	NMRAL1	blood	-	-	-0.00046	0.00278	30871403	
16	71918265	71918265	ZNF821	blood	-	-	-0.00019	0.137	30871403	
6	24646282	24646282	KIAA0319	blood	-	-	-0.00021	0.0451	30871403	
16	29985156	29985156	TAOK2	blood	-	-	-0.00023	0.0787	30871403	
6	36098567	36098567	MAPK13	blood	-	-	-0.00014	0.057	30871403	
16	29801882	29801882	KIF22	blood	-	-	-0.00028	0.000327	30871403	
11	9685562	9685562	SWAP70	blood	-	-	-0.00012	0.222	30871403	
9	91933717	91933717	SECISBP2	blood	-	-	-0.00022	0.00545	30871403	
14	90422250	90422250	EFCAB11	blood	-	-	-0.00012	0.283	30871403	
3	138313166	138313166	CEP70	blood	-	-	-0.00022	0.00833	30871403	
18	60190218	60190218	ZCCHC2	blood	-	-	-0.00011	0.0965	30871403	
12	8850385	8850385	RIMKLB	blood	-	-	-0.00019	0.0185	30871403	
9	-	-	PTGDS	Brain	-	-		3.28E-06	32650713	
13	-	-		Brain	-	-		4.30E-05	32650713	
1	-	-	PEX19	Brain	-	-		4.98E-05	32650713	
1	-	-	GNG4	Brain	-	-		6.41E-05	32650713	
1	-	-	NID1	Brain	-	-		7.32E-05	32650713	
11	-	-	MICALCL	Brain	-	-		8.24E-05	32650713	
2	-	-	GCC2	Brain	-	-		9.74E-05	32650713	
7	-	-	WNT16	blood	-	-		9.04E-07	32650713	
9	-	-	ENTPD8	blood	-	-		1.47E-06	32650713	
20	-	-	SLC23A2	blood	-	-		1.51E-06	32650713	
17	-	-	ARRB2	blood	-	-		1.53E-06	32650713	
1	-	-	WDR8	blood	-	-		3.82E-06	32650713	
16	-	-	QPRT	blood	-	-		4.02E-06	32650713	
7	-	-	RFC2	blood	-	-		4.62E-06	32650713	
5	-	-	MYO10	blood	-	-		6.05E-06	32650713	
16	-	-	QPRT	blood	-	-		6.11E-06	32650713	
14	-	-	RNASE2	blood	-	-		7.65E-06	32650713	
17	-	-	SPAG5	blood	-	-		8.37E-06	32650713	
X	-	-	CCNB3	blood	-	-		8.51E-06	32650713	
3	-	-	ZMYND10	blood	-	-		9.38E-06	32650713	
3	-	-	SLC6A20	blood	-	-		1.13E-05	32650713	
8	-	-	TRAPPC9	blood	-	-		1.38E-05	32650713	
1	-	-	C1orf61	blood	-	-		1.53E-05	32650713	
7	-	-	POR	blood	-	-		1.63E-05	32650713	
2	-	-	SNTG2	blood	-	-		1.71E-05	32650713	
6	-	-	SGK1	blood	-	-		1.75E-05	32650713	
4	-	-	PPP2R2C	blood	-	-		1.84E-05	32650713	
10	-	-	VTI1A	blood	-	-		1.95E-05	32650713	
4	-	-	SORCS2	blood	-	-		1.97E-05	32650713	
20	-	-	TOX2	blood	-	-		2.11E-05	32650713	
1	-	-	LHX8	blood	-	-		2.13E-05	32650713	
17	-	-	CHD3	blood	-	-		2.16E-05	32650713	
2	-	-	HOXD3	blood	-	-		2.33E-05	32650713	
6	-	-	XPO5; POLH	blood	-	-		2.47E-05	32650713	
7	-	-	DNAJB6	blood	-	-		2.73E-05	32650713	
13	-	-	C13orf33	blood	-	-		2.79E-05	32650713	
1	-	-	AK2	blood	-	-		2.91E-05	32650713	
10	-	-	KNDC1	blood	-	-		3.00E-05	32650713	
17	-	-	MAPT	blood	-	-		3.23E-05	32650713	
5	-	-	PCDHB18	blood	-	-		3.59E-05	32650713	
6	-	-	EXOC2	blood	-	-		3.65E-05	32650713	
20	-	-	C20orf11	blood	-	-		4.07E-05	32650713	
14	-	-	PACS2	Brain	-	-		1.18E-06	32650713	
14	-	-	PACS2	Brain	-	-		1.60E-05	32650713	
13	-	-	TFDP1	Brain	-	-		1.68E-05	32650713	
13	-	-	DNAJC15	Brain	-	-		1.73E-05	32650713	
13	-	-	DNAJC15	Brain	-	-		2.82E-05	32650713	
19	-	-	IRF2BP1	Brain	-	-		5.28E-05	32650713	
22	-	-	MAPK8IP2	Brain	-	-		6.08E-05	32650713	
5	-	-		Brain	-	-		8.05E-05	32650713	
13	-	-	DNAJC15	blood	-	-		9.55E-06	32650713	
4	-	-		blood	-	-		1.10E-05	32650713	
11	-	-	AP2A2	blood	-	-		1.94E-05	32650713	
10	-	-	CNNM2	blood	-	-		2.03E-05	32650713	
15	-	-	SMAD3	blood	-	-		2.18E-05	32650713	
3	-	-	CD47	blood	-	-		3.24E-05	32650713	
1	-	-		blood	-	-		3.58E-05	32650713	
7	-	-	ATXN7L1	blood	-	-		3.71E-05	32650713	
5	-	-	ODZ2	blood	-	-		4.06E-05	32650713	
9	-	-	DMRT1	blood	-	-		4.26E-05	32650713	
15	-	-	GABRB3	blood	-	-		4.53E-05	32650713	
16	-	-	NRN1L	blood	-	-		4.87E-05	32650713	
19	-	-	LEUTX	blood	-	-		5.10E-05	32650713	
2	-	-	BIN1	blood	-	-		5.33E-05	32650713	
14	-	-	FLRT2	blood	-	-		5.97E-05	32650713	
19	-	-	CCDC124	blood	-	-		6.13E-05	32650713	
2	-	-	EPHA4	blood	-	-		7.07E-05	32650713	
X	-	-	TBC1D8B	blood	-	-		9.91E-05	32650713	
-	-	-	C1QTNF7	Brain	-	-		5.49E-04	32650713	
-	-	-	DNAJC15	Brain	-	-		7.56E-05	32650713	
-	-	-	CORO7	Brain	-	-		7.80E-04	32650713	
-	-	-	TMCO3	Brain	-	-		4.63E-04	32650713	
-	-	-	MPPED1	Brain	-	-		5.31E-04	32650713	
-	-	-	C14orf182	Brain	-	-		4.36E-04	32650713	
-	-	-	C1QTNF7	blood	-	-		3.28E-04	32650713	
-	-	-	DNAJC15	blood	-	-		3.02E-04	32650713	
-	-	-	CORO7	blood	-	-		1.41E-04	32650713	
-	-	-	TMCO3	blood	-	-		1.72E-04	32650713	
-	-	-	MPPED1	blood	-	-		9.12E-04	32650713	
-	-	-	C14orf182	blood	-	-		9.25E-04	32650713	
